win_api,index
GetSystemTimeAsFileTime,1
LdrGetDllHandle,2
NtAllocateVirtualMemory,3
NtTerminateProcess,4
NtFreeVirtualMemory,5
NtClose,6
LdrGetProcedureAddress,7
SetUnhandledExceptionFilter,8
LdrUnloadDll,9
NtOpenKey,10
NtQueryValueKey,11
SetErrorMode,12
LdrLoadDll,13
LoadStringA,14
SearchPathW,15
OleInitialize,16
GetSystemInfo,17
NtProtectVirtualMemory,18
NtOpenSection,19
NtOpenThread,20
NtMapViewOfSection,21
GetSystemMetrics,22
RegOpenKeyExW,23
FindResourceExW,24
RegQueryValueExW,25
LoadResource,26
RegCloseKey,27
GetFileAttributesW,28
GetSystemWindowsDirectoryW,29
__exception__,30
RegOpenKeyExA,31
FindFirstFileExW,32
NtCreateFile,33
SetWindowsHookExA,34
NtOpenFile,35
NtCreateSection,36
CreateActCtxW,37
GetSystemDirectoryW,38
NtQueryDirectoryFile,39
GetVolumeNameForVolumeMountPointW,40
RegEnumKeyW,41
CoInitializeEx,42
LoadStringW,43
NtOpenProcess,44
NtCreateMutant,45
GetNativeSystemInfo,46
GetTempPathW,47
DrawTextExW,48
NtQuerySystemInformation,49
CryptAcquireContextW,50
RegQueryValueExA,51
GetFileType,52
GlobalMemoryStatusEx,53
GetFileSize,54
NtDuplicateObject,55
SetFilePointer,56
GetVolumePathNamesForVolumeNameW,57
CoCreateInstance,58
SetEndOfFile,59
CreateDirectoryW,60
GlobalMemoryStatus,61
NtQueryInformationFile,62
CoGetClassObject,63
FindResourceExA,64
NtQueryAttributesFile,65
NtReadFile,66
UuidCreate,67
RegEnumKeyExW,68
RegCreateKeyExW,69
CreateThread,70
FindResourceW,71
NtUnmapViewOfSection,72
GetFileSizeEx,73
OpenSCManagerW,74
GetFileInformationByHandleEx,75
OpenServiceW,76
RegQueryInfoKeyW,77
GetFileAttributesExW,78
RegEnumValueW,79
CoUninitialize,80
GetFileVersionInfoSizeW,81
GetFileVersionInfoW,82
GetTimeZoneInformation,83
SizeofResource,84
CoInitializeSecurity,85
WSAStartup,86
InternetOpenA,87
ReadProcessMemory,88
RegCreateKeyExA,89
__anomaly__,90
GetCursorPos,91
RegSetValueExA,92
OpenSCManagerA,93
OpenServiceA,94
NtCreateThreadEx,95
NtResumeThread,96
getaddrinfo,97
NtQueryKey,98
NtDeviceIoControlFile,99
GetAdaptersAddresses,100
RegSetValueExW,101
NtOpenKeyEx,102
InternetQueryOptionA,103
InternetOpenUrlA,104
InternetCloseHandle,105
SHGetFolderPathW,106
FindResourceA,107
DrawTextExA,108
